pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
HD 37605 b,Radial Velocity,0,2,55.01292000,0.277000,0.674500,,2.69000,Msini,,,0,0,0,1,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,46.85,46.85,8.670,V (Johnson),8.462,5329.00,0.94,0.91,2018-09-27,McDonald Observatory
HD 37605 c,Radial Velocity,0,2,2720.00000000,3.740000,0.030000,,3.19000,Msini,,,0,0,0,0,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,46.85,46.85,8.670,V (Johnson),8.462,5329.00,0.94,0.91,2018-09-27,Multiple Observatories
HD 38283 b,Radial Velocity,0,1,363.20001000,1.020000,0.410000,,0.40000,Msini,,,0,0,0,0,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341,38.10,38.10,6.696,V (Johnson),6.544,5981.00,1.37,1.49,2018-09-06,Anglo-Australian Telescope
HD 38529 b,Radial Velocity,0,2,14.30944000,0.129400,0.280000,,0.79700,Msini,,,0,0,0,0,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.41,42.41,5.950,V (Johnson),5.733,5541.00,1.41,2.56,2018-12-06,Multiple Observatories
HD 38529 c,Radial Velocity,0,2,2136.10000000,3.640000,0.340700,,12.99000,Msini,,,0,0,0,0,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.41,42.41,5.950,V (Johnson),5.733,5541.00,1.41,2.56,2018-12-06,Multiple Observatories
HD 38801 b,Radial Velocity,0,1,685.25000000,1.623000,0.017000,,9.69800,Msini,,,0,0,0,0,05h47m59.18s,86.996567,-08d19m39.7s,-8.327700,91.68,91.68,8.224,V (Johnson),8.034,5338.00,1.21,2.03,2019-06-27,Subaru Telescope
HD 39091 b,Radial Velocity,0,2,2093.07000000,3.100000,0.637000,,10.02000,Msini,,,0,0,0,1,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.28,18.28,5.670,V (Johnson),5.491,6037.00,1.09,1.10,2018-11-15,Anglo-Australian Telescope
HD 39855 b,Radial Velocity,0,1,3.24980000,0.041000,0.140000,,0.02674,Msini,,,0,0,0,0,05h54m30.16s,88.625648,-19d42m15.6s,-19.704346,23.28,23.28,7.470,V (Johnson),,5576.00,0.87,,2019-05-23,Las Campanas Observatory
HD 40307 b,Radial Velocity,0,5,4.31230000,0.046800,0.200000,,0.01260,Msini,,,0,0,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,12.94,7.170,V (Johnson),6.844,4956.00,0.77,,2014-05-14,La Silla Observatory
HD 40307 c,Radial Velocity,0,5,9.61840000,0.079900,0.060000,,0.02080,Msini,,,0,0,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,12.94,7.170,V (Johnson),6.844,4956.00,0.77,,2014-05-14,La Silla Observatory
HD 40307 d,Radial Velocity,0,5,20.43200000,0.132100,0.070000,,0.02990,Msini,,,0,0,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,12.94,7.170,V (Johnson),6.844,4956.00,0.77,,2014-05-14,La Silla Observatory
HD 40307 f,Radial Velocity,0,5,51.76000000,0.247000,0.020000,,0.01640,Msini,,,0,0,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,12.94,7.170,V (Johnson),6.844,4956.00,0.77,,2014-05-14,La Silla Observatory
HD 40307 g,Radial Velocity,1,5,197.80000000,0.600000,0.290000,,0.02230,Msini,,,0,0,0,2,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,12.94,7.170,V (Johnson),6.844,4956.00,0.77,,2014-05-14,La Silla Observatory
HD 40956 b,Radial Velocity,0,1,578.60000000,1.400000,0.240000,,2.70000,Msini,,,0,0,0,0,06h06m39.16s,91.663147,+63d27m13.8s,63.453838,116.99,116.99,6.423,V (Johnson),6.134,4869.00,2.00,8.56,2017-11-30,Multiple Observatories
HD 40979 b,Radial Velocity,0,1,264.14999000,0.850000,0.250000,,4.67000,Msini,,,0,0,0,0,06h04m29.94s,91.124763,+44d15m37.6s,44.260445,34.12,34.12,6.735,V (Johnson),6.600,6165.00,1.45,1.21,2018-09-06,Multiple Observatories
HD 41004 A b,Radial Velocity,0,1,963.00000000,,0.740000,,2.54000,Msini,,,0,0,0,1,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,43.03,,8.650,V (Johnson),,5010.00,0.70,,2014-12-03,La Silla Observatory
HD 41004 B b,Radial Velocity,0,1,1.32830000,,0.081000,,18.37000,Msini,,,0,0,0,0,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841,43.03,,,,,,0.40,,2014-12-03,La Silla Observatory
HD 4113 b,Radial Velocity,0,1,526.62000000,1.280000,0.903000,,1.56000,Msini,,,0,0,0,0,00h43m12.60s,10.802486,-37d58m57.5s,-37.982632,41.92,41.92,7.881,V (Johnson),7.711,5688.00,0.99,,2014-12-03,La Silla Observatory
HD 42012 b,Radial Velocity,0,1,857.50000000,1.670000,0.200000,,1.60000,Msini,,,0,0,0,0,06h09m56.47s,92.485275,+34d08m07.1s,34.135300,36.84,36.84,8.440,V (Johnson),8.229,5405.00,0.83,0.82,2017-03-02,Haute-Provence Observatory
HD 4203 b,Radial Velocity,0,2,431.88000000,1.170000,0.520000,,2.23000,Msini,,,0,0,0,0,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,81.57,81.57,8.687,V (Johnson),8.515,5596.00,1.25,1.42,2018-09-06,W. M. Keck Observatory
HD 4203 c,Radial Velocity,0,2,6700.00000000,6.950000,0.240000,,2.17000,Msini,,,0,0,0,0,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,81.57,81.57,8.687,V (Johnson),8.515,5596.00,1.25,1.42,2014-05-14,Gemini Observatory
HD 4208 b,Radial Velocity,0,1,832.97000000,1.662000,0.042000,,0.81000,Msini,,,0,0,0,0,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680,34.23,34.23,7.795,V (Johnson),7.611,5717.00,0.88,0.85,2019-06-27,W. M. Keck Observatory
HD 42618 b,Radial Velocity,0,1,149.61000000,0.554000,0.190000,,0.04531,Msini,,,0,0,0,0,06h12m00.57s,93.002357,+06d46m59.1s,6.783074,24.35,24.35,6.839,V (Johnson),6.683,5727.00,1.01,1.00,2016-10-27,Multiple Observatories
HD 4308 b,Radial Velocity,0,1,15.56000000,0.120000,0.000000,,0.05000,Msini,,,0,0,0,0,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521,22.03,22.03,6.560,V (Johnson),6.372,5686.00,0.93,1.02,2018-09-06,La Silla Observatory
HD 4313 b,Radial Velocity,0,1,356.21000000,1.157000,0.147000,,1.92700,Msini,,,0,0,0,0,00h45m40.36s,11.418160,+07d50m42.1s,7.845021,136.82,136.82,7.830,V (Johnson),7.574,4943.00,1.63,5.14,2018-12-06,W. M. Keck Observatory
HD 43197 b,Radial Velocity,0,1,327.80000000,0.920000,0.830000,,0.60000,Msini,,,0,0,0,0,06h13m35.66s,93.398590,-29d53m50.2s,-29.897270,56.30,62.52,8.980,V (Johnson),8.772,5508.00,0.96,1.00,2014-12-03,La Silla Observatory
HD 43691 b,Radial Velocity,0,1,36.99870000,0.238000,0.079600,,2.55000,Msini,,,0,0,0,0,06h19m34.68s,94.894485,+41d05m32.3s,41.092304,85.81,85.81,8.030,V (Johnson),7.897,6093.00,1.32,1.60,2018-09-27,Haute-Provence Observatory
HD 44219 b,Radial Velocity,0,1,472.30000000,1.190000,0.610000,,0.58000,Msini,,,0,0,0,0,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009,50.40,52.99,7.690,V (Johnson),7.530,5752.00,1.00,1.32,2015-01-22,La Silla Observatory
HD 45184 b,Radial Velocity,0,2,5.88540000,0.064400,0.070000,,0.03840,Msini,,,0,0,0,0,06h24m43.88s,96.182831,-28d46m48.4s,-28.780113,21.88,21.97,6.370,V (Johnson),6.205,5869.00,1.03,,2019-02-07,La Silla Observatory
HD 45184 c,Radial Velocity,0,2,13.13540000,0.110000,0.070000,,0.02770,Msini,,,0,0,0,0,06h24m43.88s,96.182831,-28d46m48.4s,-28.780113,21.88,21.97,6.370,V (Johnson),6.205,5869.00,1.03,,2019-02-07,La Silla Observatory
HD 45350 b,Radial Velocity,0,1,963.60000000,1.920000,0.778000,,1.79000,Msini,,,0,0,0,0,06h28m45.71s,97.190460,+38d57m46.7s,38.962963,46.94,46.94,7.885,V (Johnson),7.700,5616.00,1.02,,2014-09-18,W. M. Keck Observatory
HD 45364 b,Radial Velocity,0,2,226.93000000,0.681300,0.168400,,0.18720,Msini,,,0,0,0,0,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,34.39,8.062,V (Johnson),7.880,5434.00,0.82,,2014-05-14,La Silla Observatory
HD 45364 c,Radial Velocity,0,2,342.85000000,0.897200,0.097400,,0.65790,Msini,,,0,0,0,0,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,34.39,8.062,V (Johnson),7.880,5434.00,0.82,,2014-05-14,La Silla Observatory
HD 45652 b,Radial Velocity,0,1,44.07300000,0.237000,0.607000,,0.43300,Msini,,,0,0,0,0,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,34.89,34.89,8.100,V (Johnson),7.912,5294.00,0.92,0.94,2018-09-27,Haute-Provence Observatory
HD 46375 b,Radial Velocity,0,1,3.02357300,0.039800,0.063000,,0.22600,Msini,,,0,0,0,0,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,29.58,29.58,7.912,V (Johnson),7.695,5285.00,0.92,,2014-07-23,W. M. Keck Observatory
HD 47186 b,Radial Velocity,0,2,4.08450000,0.050000,0.040000,,0.07000,Msini,,,0,0,0,0,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.50,37.50,7.626,V (Johnson),7.449,5657.00,0.96,1.08,2018-09-06,La Silla Observatory
HD 47186 c,Radial Velocity,0,2,1353.60000000,2.395000,0.249000,,0.35061,Msini,,,0,0,0,0,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.50,37.50,7.626,V (Johnson),7.449,5657.00,0.96,1.08,2015-03-26,La Silla Observatory
HD 4732 b,Radial Velocity,0,2,360.20000000,1.190000,0.130000,,2.37000,Msini,,,0,0,0,0,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,54.87,54.87,5.890,V (Johnson),5.633,4959.00,1.74,5.40,2014-05-14,Multiple Observatories
HD 4732 c,Radial Velocity,0,2,2732.00000000,4.600000,0.230000,,2.37000,Msini,,,0,0,0,0,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,54.87,54.87,5.890,V (Johnson),5.633,4959.00,1.74,5.40,2014-05-14,Multiple Observatories
HD 47366 b,Radial Velocity,0,2,359.15000000,1.280000,0.060000,,2.30000,Msini,,,0,0,0,0,06h37m40.79s,99.419968,-12d59m06.4s,-12.985116,84.56,84.56,6.110,V (Johnson),5.826,4914.00,2.19,6.20,2019-09-26,Okayama Astrophysical Observatory
HD 47366 c,Radial Velocity,0,2,682.85000000,1.970000,0.100000,,1.88000,Msini,,,0,0,0,0,06h37m40.79s,99.419968,-12d59m06.4s,-12.985116,84.56,84.56,6.110,V (Johnson),5.826,4914.00,2.19,6.20,2019-09-26,Okayama Astrophysical Observatory
HD 47536 b,Radial Velocity,0,1,712.13000000,1.930000,0.200000,,7.32000,Msini,,,0,0,0,0,06h37m47.62s,99.448410,-32d20m23.0s,-32.339733,122.95,122.95,5.250,V (Johnson),4.832,4424.00,0.91,22.39,2015-03-26,La Silla Observatory
HD 48265 b,Radial Velocity,0,1,778.51000000,1.814000,0.211000,,1.52500,Msini,,,0,0,0,0,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,90.78,90.78,8.051,V (Johnson),7.879,5733.00,1.31,1.90,2019-06-27,Las Campanas Observatory
HD 4917 b,Radial Velocity,0,1,400.50000000,1.167000,0.066000,,1.61500,Msini,,,0,0,0,0,00h51m06.28s,12.776146,-12d55m39.4s,-12.927608,205.45,205.45,8.030,V (Johnson),7.749,4802.00,1.32,5.01,2018-12-06,W. M. Keck Observatory
HD 49674 b,Radial Velocity,0,1,4.94737000,0.060000,0.090000,,0.10000,Msini,,,0,0,0,0,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,43.09,43.09,8.100,V (Johnson),7.918,5602.00,1.03,1.02,2018-09-06,W. M. Keck Observatory
HD 50499 b,Radial Velocity,0,2,2447.10000000,3.833000,0.266000,,1.63600,Msini,,,0,0,0,0,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,46.35,46.35,7.207,V (Johnson),7.056,6102.00,1.25,1.35,2019-06-27,W. M. Keck Observatory
HD 50499 c,Radial Velocity,0,2,8619.90000000,9.020000,0.000000,,2.93000,Msini,,,0,0,0,0,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,46.35,46.35,7.207,V (Johnson),7.056,6102.00,1.25,1.35,2019-04-11,La Silla Observatory
HD 50554 b,Radial Velocity,0,1,1293.00000000,2.353000,0.501000,,4.95400,Msini,,,0,0,0,0,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.19,31.19,6.840,V (Johnson),6.698,5987.00,1.04,1.02,2014-11-19,Lick Observatory
HD 51608 b,Radial Velocity,0,2,14.07260000,0.105900,0.090000,,0.04020,Msini,,,0,0,0,0,06h54m51.34s,103.713921,-55d15m33.6s,-55.259327,34.83,35.09,8.170,V (Johnson),7.961,5358.00,0.80,,2019-02-07,La Silla Observatory
HD 51608 c,Radial Velocity,0,2,95.94460000,0.380900,0.140000,,0.04500,Msini,,,0,0,0,0,06h54m51.34s,103.713921,-55d15m33.6s,-55.259327,34.83,35.09,8.170,V (Johnson),7.961,5358.00,0.80,,2019-02-07,La Silla Observatory
HD 52265 b,Radial Velocity,0,1,119.27000000,0.520000,0.270000,,1.21000,Msini,,,0,0,0,1,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,30.01,30.01,6.300,V (Johnson),6.147,6136.00,1.20,,2019-03-14,W. M. Keck Observatory
HD 5319 b,Radial Velocity,0,2,637.10000000,1.570000,0.092000,,1.55600,Msini,,,0,0,0,0,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,121.83,121.83,8.050,V (Johnson),7.772,4871.00,1.27,4.06,2018-12-06,W. M. Keck Observatory
HD 5319 c,Radial Velocity,0,2,872.20000000,1.930000,0.183000,,1.05300,Msini,,,0,0,0,0,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,121.83,121.83,8.050,V (Johnson),7.772,4871.00,1.27,4.06,2018-12-06,W. M. Keck Observatory
HD 55696 b,Radial Velocity,0,1,1827.00000000,3.180000,0.705000,,3.87000,Msini,,,0,0,0,0,07h12m14.97s,108.062378,-38d10m28.3s,-38.174541,78.15,78.15,7.950,V (Johnson),7.811,6012.00,1.29,1.52,2018-09-27,W. M. Keck Observatory
HD 5583 b,Radial Velocity,0,1,139.35000000,0.530000,0.076000,,5.78000,Msini,,,0,0,0,0,00h57m56.70s,14.486255,+34d59m08.0s,34.985561,221.00,220.54,7.600,V (Johnson),7.308,4830.00,1.01,9.09,2016-02-04,Roque de los Muchachos Observatory
HD 5608 b,Radial Velocity,0,1,779.90000000,1.911000,0.056000,,1.68100,Msini,,,0,0,0,0,00h58m14.22s,14.559246,+33d57m03.2s,33.950886,58.21,58.21,5.990,V (Johnson),5.712,4877.00,1.53,5.14,2018-12-06,Okayama Astrophysical Observatory
HD 564 b,Radial Velocity,0,1,492.30000000,1.200000,0.096000,,0.33000,Msini,,,0,0,0,0,00h09m52.82s,2.470091,-50d16m04.2s,-50.267822,53.60,51.24,8.290,V (Johnson),8.171,5902.00,0.96,1.01,2015-01-08,La Silla Observatory
HD 5891 b,Radial Velocity,0,1,177.11000000,0.640000,0.070000,,7.63000,Msini,,,0,0,0,0,01h00m33.19s,15.138300,+20d17m32.9s,20.292484,285.75,285.75,8.250,V (Johnson),7.798,4673.00,1.93,10.64,2018-09-06,W. M. Keck Observatory
HD 59686 A b,Radial Velocity,0,1,299.36000000,1.086000,0.050000,,6.92000,Msini,,,0,0,0,0,07h31m48.40s,112.951653,+17d05m09.8s,17.086046,96.80,89.49,5.442,V (Johnson),5.096,4658.00,1.90,13.20,2016-08-12,Lick Observatory
HD 60532 b,Radial Velocity,0,2,201.90000000,0.770000,0.260000,,1.06000,Msini,,,0,0,0,0,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.99,25.99,4.440,V (Johnson),4.234,6245.00,1.50,2.57,2016-09-08,La Silla Observatory
HD 60532 c,Radial Velocity,0,2,600.10000000,1.600000,0.030000,,2.51000,Msini,,,0,0,0,0,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.99,25.99,4.440,V (Johnson),4.234,6245.00,1.50,2.57,2016-09-08,La Silla Observatory
HD 62509 b,Radial Velocity,0,1,589.64000000,1.640000,0.020000,,2.30000,Msini,,,0,0,0,0,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,,1.140,V (Johnson),,4946.00,2.10,8.31,2015-03-26,Multiple Observatories
HD 63433 b,Transit,0,2,7.10793000,0.071900,0.000000,89.380,,,0.192,,0,0,0,0,07h49m55.06s,117.479424,+27d21m47.5s,27.363182,22.42,22.42,6.900,V (Johnson),6.718,5640.00,0.99,0.91,2020-09-24,Transiting Exoplanet Survey Satellite (TESS)
HD 63433 c,Transit,0,2,20.54530000,0.145800,0.000000,89.147,,,0.238,,0,0,0,0,07h49m55.06s,117.479424,+27d21m47.5s,27.363182,22.42,22.42,6.900,V (Johnson),6.718,5640.00,0.99,0.91,2020-09-24,Transiting Exoplanet Survey Satellite (TESS)
HD 63454 b,Radial Velocity,0,1,2.81805000,0.040000,0.000000,,0.25000,Msini,,,0,0,0,0,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,37.73,37.73,9.370,V (Johnson),9.054,4812.00,0.42,0.77,2018-09-06,La Silla Observatory
HD 63765 b,Radial Velocity,0,1,358.00000000,0.940000,0.240000,,0.53000,Msini,,,0,0,0,0,07h47m49.72s,116.957161,-54d15m50.9s,-54.264145,32.57,32.57,8.100,V (Johnson),7.910,5449.00,0.65,0.83,2018-09-06,La Silla Observatory
HD 64114 b,Radial Velocity,0,1,45.79100000,0.246000,0.120000,,0.05600,Msini,,,0,0,0,0,07h51m55.89s,117.982864,-11d01m58.7s,-11.032976,31.55,31.55,7.718,V (Johnson),,5676.00,0.95,,2019-05-23,Las Campanas Observatory
HD 6434 b,Radial Velocity,0,1,21.99800000,0.140000,0.170000,,0.49000,Msini,,,0,0,0,0,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,42.41,42.41,7.710,V (Johnson),7.561,5769.00,1.10,1.12,2018-09-06,La Silla Observatory
HD 65216 b,Radial Velocity,0,2,577.60000000,1.301000,0.270000,,1.29500,Msini,,,0,0,0,0,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.16,35.16,7.964,V (Johnson),7.794,5612.00,0.87,,2019-03-14,La Silla Observatory
HD 65216 c,Radial Velocity,0,2,5370.00000000,5.750000,0.170000,,2.03000,Msini,,,0,0,0,2,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.16,35.16,7.964,V (Johnson),7.794,5612.00,0.87,,2019-03-14,La Silla Observatory
HD 66141 b,Radial Velocity,0,1,480.50000000,1.200000,0.070000,,6.00000,Msini,,,0,0,0,0,08h02m15.94s,120.566406,+02d20m04.5s,2.334571,68.16,68.16,4.380,V (Johnson),3.891,4323.00,1.10,21.40,2014-05-14,Bohyunsan Optical Astronomical Observatory
HD 66428 b,Radial Velocity,0,1,2263.12000000,3.467000,0.493000,,3.20400,Msini,,,0,0,0,0,08h03m28.67s,120.869438,-01d09m45.8s,-1.162709,53.36,53.36,8.246,V (Johnson),8.081,5773.00,1.08,1.10,2019-06-27,W. M. Keck Observatory
HD 67087 b,Radial Velocity,0,2,352.20000000,1.080000,0.170000,,3.06000,Msini,,,0,0,0,0,08h07m39.76s,121.915649,+31d33m04.7s,31.551319,76.69,76.69,8.050,V (Johnson),7.922,6330.00,1.36,1.55,2015-04-01,Multiple Observatories
HD 67087 c,Radial Velocity,0,2,2374.00000000,3.860000,0.760000,,4.85000,Msini,,,0,0,0,0,08h07m39.76s,121.915649,+31d33m04.7s,31.551319,76.69,76.69,8.050,V (Johnson),7.922,6330.00,1.36,1.55,2015-04-01,Multiple Observatories
HD 6718 b,Radial Velocity,0,1,2496.00000000,3.550000,0.100000,,1.68000,Msini,,,0,0,0,0,01h07m48.66s,16.952761,-08d14m01.3s,-8.233706,51.42,51.42,8.450,V (Johnson),8.281,5801.00,1.08,0.95,2018-09-06,La Silla Observatory
HD 68402 b,Radial Velocity,0,1,1103.00000000,2.180000,0.030000,,3.07000,Msini,,,0,0,0,0,08h05m23.69s,121.348717,-74d24m37.5s,-74.410416,78.61,78.61,9.110,V (Johnson),8.954,5950.00,1.12,1.02,2016-11-10,Multiple Observatories
HD 68988 b,Radial Velocity,0,1,6.27711000,0.070000,0.120000,,1.97000,Msini,,,0,0,0,0,08h18m22.17s,124.592384,+61d27m38.6s,61.460724,60.95,60.95,8.200,V (Johnson),8.046,5932.00,1.28,1.19,2018-09-06,Multiple Observatories
HD 69830 b,Radial Velocity,0,3,8.66700000,0.078500,0.100000,,0.03210,Msini,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.56,12.56,6.000,V (Johnson),5.739,5385.00,0.86,,2015-03-26,La Silla Observatory
HD 69830 c,Radial Velocity,0,3,31.56000000,0.186000,0.130000,,0.03710,Msini,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.56,12.56,6.000,V (Johnson),5.739,5385.00,0.86,,2015-03-26,La Silla Observatory
HD 69830 d,Radial Velocity,0,3,197.00000000,0.630000,0.070000,,0.05700,Msini,,,0,0,0,0,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.56,12.56,6.000,V (Johnson),5.739,5385.00,0.86,,2015-03-26,La Silla Observatory
HD 70573 b,Radial Velocity,0,1,851.80000000,1.760000,0.400000,,6.10000,Msini,,,0,0,0,0,08h22m49.95s,125.708135,+01d51m33.6s,1.859323,45.70,59.28,11.424,V (Johnson),8.543,5737.00,1.00,,2015-03-26,La Silla Observatory
HD 70642 b,Radial Velocity,0,1,2124.54000000,3.318000,0.175000,,1.99300,Msini,,,0,0,0,0,08h21m28.14s,125.367233,-39d42m19.5s,-39.705410,29.30,29.30,7.169,V (Johnson),6.992,5732.00,1.08,0.98,2019-06-27,Anglo-Australian Telescope
HD 7199 b,Radial Velocity,0,1,615.00000000,1.360000,0.190000,,0.27000,Msini,,,0,0,0,0,01h10m47.22s,17.696762,-66d11m17.4s,-66.188164,36.19,36.19,8.027,V (Johnson),7.837,5371.00,0.77,0.97,2018-09-06,La Silla Observatory
HD 72490 b,Radial Velocity,0,1,858.00000000,1.880000,0.124000,,1.76800,Msini,,,0,0,1,0,08h33m36.65s,128.402710,+13d33m02.8s,13.550790,126.79,126.79,7.820,V (Johnson),7.574,4934.00,1.21,4.96,2018-12-06,W. M. Keck Observatory
HD 72659 b,Radial Velocity,0,1,3658.00000000,4.750000,0.220000,,3.85000,Msini,,,0,0,0,0,08h34m03.19s,128.513290,-01d34m05.6s,-1.568217,51.97,51.97,7.460,V (Johnson),7.311,5932.00,1.43,1.46,2018-09-06,W. M. Keck Observatory
HD 72892 b,Radial Velocity,0,1,39.47500000,0.228000,0.423000,,5.45000,Msini,,,0,0,0,0,08h34m52.60s,128.719147,-14d27m24.1s,-14.456694,69.87,69.87,8.830,V (Johnson),8.647,5688.00,1.02,1.22,2016-11-10,Multiple Observatories
HD 73267 b,Radial Velocity,0,1,1245.36000000,2.187000,0.230000,,3.09700,Msini,,,0,0,0,0,08h36m17.78s,129.074066,-34d27m35.9s,-34.459980,54.91,50.48,8.889,V (Johnson),8.678,5387.00,0.90,0.91,2019-06-27,La Silla Observatory
HD 73526 b,Radial Velocity,0,2,188.30000000,0.650000,0.190000,,3.08000,Msini,,,0,0,0,0,08h37m16.48s,129.318680,-41d19m08.8s,-41.319103,97.51,97.51,8.971,V (Johnson),8.797,5601.00,1.14,1.53,2018-09-06,Anglo-Australian Telescope
HD 73526 c,Radial Velocity,0,2,379.10000000,1.030000,0.280000,,2.25000,Msini,,,0,0,0,0,08h37m16.48s,129.318680,-41d19m08.8s,-41.319103,97.51,97.51,8.971,V (Johnson),8.797,5601.00,1.14,1.53,2014-05-14,Anglo-Australian Telescope
HD 73534 b,Radial Velocity,0,1,1750.00000000,2.990000,0.126000,,1.11200,Msini,,,0,0,0,0,08h39m15.80s,129.815842,+12d57m37.4s,12.960376,83.53,83.53,8.230,V (Johnson),7.957,4917.00,1.16,2.58,2018-12-06,W. M. Keck Observatory
HD 74156 b,Radial Velocity,0,2,51.64500000,0.292000,0.627000,,1.80000,Msini,,,0,0,0,0,08h42m25.12s,130.604675,+04d34m41.2s,4.578097,64.60,57.70,7.614,V (Johnson),7.469,6068.00,1.24,,2014-05-14,Haute-Provence Observatory
HD 74156 c,Radial Velocity,0,2,2473.00000000,3.850000,0.432000,,8.06000,Msini,,,0,0,0,0,08h42m25.12s,130.604675,+04d34m41.2s,4.578097,64.60,57.70,7.614,V (Johnson),7.469,6068.00,1.24,,2014-05-14,Haute-Provence Observatory
HD 7449 b,Radial Velocity,0,1,1255.50000000,2.380000,0.920000,,0.50800,Msini,,,0,0,0,0,01h14m29.32s,18.622173,-05d02m50.6s,-5.047387,38.71,38.71,7.483,V (Johnson),7.350,6024.00,1.05,,2019-03-14,La Silla Observatory
HD 75289 b,Radial Velocity,0,1,3.50927000,0.050000,0.030000,,0.49000,Msini,,,0,0,0,0,08h47m40.39s,131.918289,-41d44m12.5s,-41.736794,29.14,29.14,6.350,V (Johnson),6.205,6117.00,1.29,1.23,2018-09-06,La Silla Observatory
HD 75784 b,Radial Velocity,0,2,341.20000000,1.032000,0.097000,,1.00000,Msini,,,0,0,0,0,08h52m23.94s,133.099747,+13d14m00.4s,13.233433,85.64,85.64,7.840,V (Johnson),7.560,4867.00,1.26,3.40,2018-12-06,W. M. Keck Observatory
HD 75784 c,Radial Velocity,0,2,7900.00000000,8.400000,0.489000,,5.64000,Msini,,,0,0,0,0,08h52m23.94s,133.099747,+13d14m00.4s,13.233433,85.64,85.64,7.840,V (Johnson),7.560,4867.00,1.26,3.40,2018-12-06,W. M. Keck Observatory
HD 75898 b,Radial Velocity,0,1,422.90000000,1.191000,0.110000,,2.71000,Msini,,,0,0,0,0,08h53m50.80s,133.461685,+33d03m24.5s,33.056812,78.23,78.23,8.030,V (Johnson),7.896,5963.00,1.26,1.58,2018-09-27,W. M. Keck Observatory
HD 76700 b,Radial Velocity,0,1,3.97097000,0.050000,0.090000,,0.21000,Msini,,,0,0,0,0,08h53m55.51s,133.481308,-66d48m03.6s,-66.800995,60.99,60.99,8.155,V (Johnson),7.973,5644.00,0.99,1.37,2018-09-06,Anglo-Australian Telescope
HD 76920 b,Radial Velocity,0,1,415.40000000,1.149000,0.856000,,3.93000,Msini,,,0,0,0,0,08h55m16.82s,133.820068,-67d15m55.7s,-67.265472,184.80,185.01,7.817,V (Johnson),7.514,4698.00,1.17,7.47,2017-11-30,Multiple Observatories
