pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-659 b,Transit,0,1,17.67179600,,,,,,0.223,,0,1,0,1,19h10m25.97s,287.608202,+47d30m34.9s,47.509686,688.00,737.76,15.556,Kepler-band,15.566,4870.00,0.79,0.74,2016-05-10,Kepler
Kepler-66 b,Transit,0,1,17.81581500,0.135200,,,,,0.250,,0,1,0,1,19h35m55.58s,293.981569,+46d41m15.9s,46.687748,1107.00,1245.35,15.300,V (Johnson),15.147,5962.00,1.04,0.97,2014-05-14,Kepler
Kepler-660 b,Transit,0,1,9.27358194,,,,,,0.229,,0,1,0,1,19h12m33.18s,288.138262,+47d43m28.0s,47.724453,564.00,577.77,15.302,Kepler-band,15.264,4779.00,0.75,0.71,2016-05-10,Kepler
Kepler-661 b,Transit,0,1,6.02930132,,,,,,0.274,,0,1,0,1,18h54m50.61s,283.710881,+47d51m47.8s,47.863270,558.00,542.96,15.784,Kepler-band,15.800,4483.00,0.70,0.67,2016-05-10,Kepler
Kepler-662 b,Transit,0,1,21.67697486,,,,,,0.194,,0,1,0,1,19h21m51.63s,290.465134,+47d55m45.0s,47.929180,641.00,834.77,15.377,Kepler-band,15.374,4897.00,0.79,0.74,2016-05-10,Kepler
Kepler-663 b,Transit,0,1,4.99678284,,,,,,0.232,,0,1,0,1,19h51m13.98s,297.808262,+47d56m48.0s,47.946671,1030.00,1095.49,15.861,Kepler-band,15.869,5264.00,0.86,0.82,2016-05-10,Kepler
Kepler-664 b,Transit,0,1,2.52559332,,,,,,0.237,,0,1,0,1,19h15m01.17s,288.754887,+48d13m34.3s,48.226200,1386.00,1253.32,15.509,Kepler-band,15.499,5754.00,1.01,1.02,2016-05-10,Kepler
Kepler-665 b,Transit,0,1,16.01310205,,,,,,0.232,,0,1,0,1,19h48m06.15s,297.025630,+48d28m42.9s,48.478596,651.00,623.57,15.390,Kepler-band,15.402,4913.00,0.79,0.74,2016-05-10,Kepler
Kepler-666 b,Transit,0,1,4.49876092,,,,,,0.214,,0,1,0,1,19h53m49.64s,298.456840,+48d47m29.7s,48.791592,1330.00,1575.64,15.395,Kepler-band,15.341,5887.00,1.03,1.05,2016-05-10,Kepler
Kepler-667 b,Transit,0,1,41.43962808,,,,,,0.422,,0,1,0,1,19h42m13.21s,295.555049,+49d01m02.4s,49.017342,907.00,2468.46,15.400,Kepler-band,15.362,5327.00,0.91,0.87,2016-05-10,Kepler
